Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Baker Street,51.52265,-0.15704,Bakerloo,#B36305,3.102079798,,,,,,,
Charing Cross,51.507108,-0.122963,Bakerloo,#B36305,0.75552817,,,,,,,
Edgware Road,51.51956,-0.169068,Bakerloo,#B36305,3.795688541,,,,,,,
Elephant & Castle,51.49467,-0.10047,Bakerloo,#B36305,2.200302235,,,,,,,
Embankment,51.50717,-0.12195,Bakerloo,#B36305,0.704374924,,,,,,,
Harlesden,51.53628278,-0.257622488,Bakerloo,#B36305,10.19099064,,,,,,,
Harrow & Wealdstone,51.59205973,-0.334725352,Bakerloo,#B36305,17.57066198,,,,,,,
Kensal Green,51.53060655,-0.224253545,Bakerloo,#B36305,7.798130125,,,,,Central Lat,,51.512092
Kenton,51.58173809,-0.316870809,Bakerloo,#B36305,15.93067091,,,,,Central Long,,-0.115543
Kilburn Park,51.53495818,-0.193963023,Bakerloo,#B36305,5.991705346,,,,,,,
Lambeth North,51.49894,-0.11216,Bakerloo,#B36305,1.481061024,,,,,,,
Maida Vale,51.52989409,-0.185888819,Bakerloo,#B36305,5.254270078,,,,,,,
Marylebone,51.52266,-0.162996,Bakerloo,#B36305,3.487410234,,,,,,,
North Wembley,51.56258091,-0.304072648,Bakerloo,#B36305,14.19663603,,,,,,,
Oxford Circus,51.51517,-0.14119,Bakerloo,#B36305,1.807466769,,,,,,,
Paddington,51.51518466,-0.175538808,Bakerloo,#B36305,4.165912853,,,,,,,
Piccadilly Circus,51.51022,-0.13392,Bakerloo,#B36305,1.288675831,,,,,,,
Queen's Park 2,51.534179,-0.205257721,Bakerloo,#B36305,6.67516847,,,,,,,
Regent's Park,51.52344,-0.14713,Bakerloo,#B36305,2.523717695,,,,,,,
South Kenton,51.57044666,-0.308566354,Bakerloo,#B36305,14.84254408,,,,,,,
Stonebridge Park,51.54402388,-0.275978856,Bakerloo,#B36305,11.6527343,,,,,,,
Warwick Avenue,51.52329728,-0.183777837,Bakerloo,#B36305,4.883050738,,,,,,,
Waterloo,51.50322,-0.11328,Bakerloo,#B36305,0.998876445,,,,,,,
Wembley Central,51.55122817,-0.29577538,Bakerloo,#B36305,13.2047785,,,,,,,
Willesden Junction,51.53181,-0.24235,Bakerloo,#B36305,9.043227741,,,,,,,
Bank,51.5134047,-0.08905843,Central,#E32017,1.838564841,,,,,,,
Barkingside,51.58543,0.08854,Central,#E32017,16.29840485,,,,,,,
Bethnal Green,51.52718,-0.05504,Central,#E32017,4.50991387,,,,,,,
Bond Street,51.51461,-0.14897,Central,#E32017,2.330038305,,,,,,,
Buckhurst Hill,51.62611,0.04705,Central,#E32017,16.94174582,,,,,,,
Chancery Lane,51.51836,-0.11115,Central,#E32017,0.760376967,,,,,,,
Chigwell,51.61795,0.07511,Central,#E32017,17.66973194,,,,,,,
Debden,51.64535,0.08364,Central,#E32017,20.22376946,,,,,,,
Ealing Broadway,51.51482,-0.30118,Central,#E32017,12.8496635,,,,,,,
East Acton,51.51753,-0.24827,Central,#E32017,9.204321563,,,,,,,
Epping,51.69365,0.11495,Central,#E32017,25.70943815,,,,,,,
Fairlop,51.59634,0.09125,Central,#E32017,17.09298635,,,,,,,
Gants Hill,51.57649,0.06637,Central,#E32017,14.47511042,,,,,,,
Grange Hill,51.61326,0.09258,Central,#E32017,18.2625489,,,,,,,
Greenford,51.542346,-0.345903,Central,#E32017,16.28730247,,,,,,,
Hainault,51.60288,0.09332,Central,#E32017,17.61836649,,,,,,,
Hanger Lane,51.53,-0.2929,Central,#E32017,12.43157833,,,,,,,
Holborn,51.51711,-0.12055,Central,#E32017,0.656797453,,,,,,,
Holland Park,51.50722,-0.20553,Central,#E32017,6.251140841,,,,,,,
Lancaster Gate,51.512083,-0.175067,Central,#E32017,4.119186349,,,,,,,
Leyton,51.556483,-0.005669,Central,#E32017,9.062100322,,,,,,,
Leytonstone,51.56828,0.00739,Central,#E32017,10.5507717,,,,,,,
Liverpool Street,51.517675,-0.082458,Central,#E32017,2.372087264,,,,,,,
Loughton,51.6417,0.05583,Central,#E32017,18.65322629,,,,,,,
Marble Arch,51.513597,-0.15869195,Central,#E32017,2.990634549,,,,,,,
Mile End,51.525306,-0.033471,Central,#E32017,5.865740664,,,,,,,
Newbury Park,51.57565,0.08927,Central,#E32017,15.82891178,,,,,,,
North Acton,51.5237,-0.26019,Central,#E32017,10.09148647,,,,,,,
Northolt,51.548054,-0.368257,Central,#E32017,17.93294721,,,,,,,
Notting Hill Gate,51.509028,-0.1962847,Central,#E32017,5.598060251,,,,,,,
Oxford Circus 2,51.51517,-0.14119,Central,#E32017,1.807466769,,,,,,,
Perivale,51.536673,-0.32391,Central,#E32017,14.67237469,,,,,,,
Queensway,51.510484,-0.18705,Central,#E32017,4.95175106,,,,,,,
Redbridge,51.57618,0.04542,Central,#E32017,13.2168742,,,,,,,
Roding Valley,51.61691,0.04264,Central,#E32017,15.98112817,,,,,,,
Ruislip Gardens,51.560711,-0.410587,Central,#E32017,21.11071562,,,,,,,
Shepherd's Bush,51.50474,-0.21881,Central,#E32017,7.193473319,,,,,,,
Snaresbrook,51.58002,0.02133,Central,#E32017,12.1092775,,,,,,,
South Ruislip,51.556795,-0.398708,Central,#E32017,20.20690534,,,,,,,
South Woodford,51.59088,0.02726,Central,#E32017,13.20008686,,,,,,,
St.Paul's,51.515285,-0.097598,Central,#E32017,1.29154759,,,,,,,
Stratford,51.541208,-0.003776,Central,#E32017,8.382490925,,,,,,,
Theydon Bois,51.67246,0.10354,Central,#E32017,23.38867658,,,,,,,
Tottenham Court Road,51.51672074,-0.13093911,Central,#E32017,1.183199945,,,,,,,
Wanstead,51.57565,0.02864,Central,#E32017,12.22145532,,,,,,,
West Acton,51.51818,-0.28064,Central,#E32017,11.44433273,,,,,,,
West Ruislip,51.569324,-0.43674,Central,#E32017,23.10713668,,,,,,,
White City,51.512206,-0.224226,Central,#E32017,7.521092658,,,,,,,
Woodford,51.60582,0.03328,Central,#E32017,14.64472474,,,,,,,
Aldgate,51.51394,-0.07537,Circle,#FFD300,2.787583783,,,,,,,
Baker Street 2,51.52265,-0.15704,Circle,#FFD300,3.102079798,,,,,,,
Barbican,51.520865,-0.097758,Circle,#FFD300,1.57038299,,,,,,,
Bayswater,51.51224,-0.187569,Circle,#FFD300,4.984369485,,,,,,,
Blackfriars,51.5114403,-0.1041905,Circle,#FFD300,0.788957531,,,,,,,
Cannon Street,51.51141,-0.09047,Circle,#FFD300,1.736773718,,,,,,,
Edgware Road 2,51.520195,-0.166986,Circle,#FFD300,3.671908298,,,,,,,
Embankment 2,51.50717,-0.12195,Circle,#FFD300,0.704374924,,,,,,,
Euston Square,51.52584,-0.1357,Circle,#FFD300,2.069329688,,,,,,,
Gloucester Road,51.49408266,-0.17295341,Circle,#FFD300,4.449779297,,,,,,,
Goldhawk Road,51.501248,-0.226776,Circle,#FFD300,7.792331559,,,,,,,
Great Portland Street,51.52391,-0.14397,Circle,#FFD300,2.365537369,,,,,,,
Hammersmith,51.49419075,-0.225964953,Circle,#FFD300,7.897886276,,,,,,,
High Street Kensington,51.50034591,-0.192351664,Circle,#FFD300,5.474105394,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Circle,#FFD300,2.136161838,,,,,,,
Ladbroke Grove,51.5173,-0.21114,Circle,#FFD300,6.640434319,,,,,,,
Latimer Road,51.513125,-0.218428,Circle,#FFD300,7.120703478,,,,,,,
Liverpool Street 2,51.517675,-0.082458,Circle,#FFD300,2.372087264,,,,,,,
Mansion House,51.51256,-0.09397,Circle,#FFD300,1.493795996,,,,,,,
Monument,51.510165,-0.085991,Circle,#FFD300,2.056298168,,,,,,,
Moorgate,51.51817,-0.08859,Circle,#FFD300,1.983755569,,,,,,,
Notting Hill Gate 2,51.509028,-0.1962847,Circle,#FFD300,5.598060251,,,,,,,
Paddington 2,51.51909671,-0.176968859,Circle,#FFD300,4.321246964,,,,,,,
Royal Oak,51.519383,-0.187785,Circle,#FFD300,5.06421282,,,,,,,
Shepherd's Bush Market,51.506063,-0.226231,Circle,#FFD300,7.68962717,,,,,,,
Sloane Square,51.49258474,-0.156090904,Circle,#FFD300,3.547117025,,,,,,,
South Kensington,51.494066,-0.172791,Circle,#FFD300,4.440580062,,,,,,,
St.James's Park,51.49971,-0.13394,Circle,#FFD300,1.875332895,,,,,,,
Temple,51.51114,-0.11341,Circle,#FFD300,0.181643703,,,,,,,
Tower Hill,51.50991,-0.076813,Circle,#FFD300,2.691220937,,,,,,,
Victoria,51.49662869,-0.14400853,Circle,#FFD300,2.614995627,,,,,,,
Westbourne Park,51.520995,-0.201778,Circle,#FFD300,6.04862295,,,,,,,
Westminster,51.50121,-0.12489,Circle,#FFD300,1.372096123,,,,,,,
Wood Lane,51.5091345,-0.2252285,Circle,#FFD300,7.597833238,,,,,,,
Acton Town,51.5025,-0.278126,District,#00782A,11.30270408,,,,,,,
Aldgate East,51.51514,-0.07178,District,#00782A,3.047296449,,,,,,,
Barking,51.54079,0.08018,District,#00782A,13.91111737,,,,,,,
Barons Court,51.490281,-0.21434,District,#00782A,7.255917654,,,,,,,
